navigation_id,timestamp,planned_x,planned_y,executed_x,executed_y,path_error,accumulated_distance,instantaneous_velocity,elapsed_time
1,1734627243.247,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,0.150
1,1734627243.447,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,0.350
1,1734627243.647,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,0.550
1,1734627243.846,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,0.749
1,1734627244.046,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,0.949
1,1734627244.247,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,1.150
1,1734627244.445,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,1.348
1,1734627244.646,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,1.549
1,1734627244.846,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,1.748
1,1734627245.047,0.630,-0.030,0.635,-0.021,0.011,0.000,0.000,1.950
1,1734627245.247,0.630,-0.030,0.636,-0.021,0.011,0.001,0.003,2.150
1,1734627245.446,0.630,-0.030,0.656,-0.021,0.018,0.021,0.101,2.349
1,1734627245.647,0.669,-0.046,0.686,-0.022,0.027,0.051,0.150,2.550
1,1734627245.846,0.718,-0.056,0.716,-0.023,0.032,0.081,0.149,2.749
1,1734627246.046,0.742,-0.061,0.745,-0.024,0.037,0.110,0.149,2.949
1,1734627246.247,0.780,-0.030,0.775,-0.026,0.006,0.141,0.150,3.150
1,1734627246.446,0.780,-0.030,0.805,-0.029,0.010,0.171,0.150,3.349
1,1734627246.645,0.825,-0.048,0.835,-0.032,0.018,0.201,0.150,3.548
1,1734627246.846,0.849,-0.053,0.864,-0.036,0.020,0.230,0.148,3.749
1,1734627247.047,0.898,-0.066,0.894,-0.040,0.024,0.260,0.150,3.950
1,1734627247.246,0.930,-0.030,0.923,-0.045,0.016,0.290,0.148,4.149
1,1734627247.446,0.961,-0.048,0.953,-0.049,0.005,0.320,0.151,4.349
1,1734627247.646,0.986,-0.053,0.983,-0.054,0.001,0.350,0.149,4.548
1,1734627247.846,1.010,-0.060,1.012,-0.059,0.002,0.380,0.151,4.749
1,1734627248.045,0.961,-0.048,0.973,-0.042,0.008,0.423,0.217,4.948
1,1734627248.246,1.010,-0.060,1.000,-0.051,0.006,0.452,0.143,5.149
1,1734627248.445,1.080,-0.080,1.029,-0.061,0.054,0.483,0.155,5.348
1,1734627248.646,1.080,-0.080,1.059,-0.071,0.023,0.514,0.157,5.548
1,1734627248.846,1.080,-0.080,1.086,-0.080,0.006,0.543,0.142,5.749
1,1734627249.046,1.080,-0.080,1.116,-0.091,0.036,0.574,0.158,5.949
1,1734627249.245,1.078,-0.107,1.143,-0.100,0.064,0.603,0.143,6.148
1,1734627249.446,1.166,-0.112,1.172,-0.110,0.005,0.634,0.156,6.349
1,1734627249.645,1.187,-0.126,1.200,-0.118,0.015,0.664,0.147,6.548
1,1734627249.845,1.187,-0.126,1.208,-0.116,0.022,0.671,0.040,6.748
1,1734627250.046,1.204,-0.144,1.236,-0.124,0.037,0.700,0.144,6.949
1,1734627250.246,1.239,-0.177,1.266,-0.132,0.052,0.731,0.154,7.149
1,1734627250.445,1.280,-0.130,1.294,-0.140,0.017,0.760,0.146,7.348
1,1734627250.645,1.280,-0.130,1.324,-0.147,0.047,0.791,0.153,7.548
1,1734627250.845,1.352,-0.204,1.352,-0.153,0.050,0.820,0.146,7.748
1,1734627251.046,1.377,-0.207,1.382,-0.160,0.048,0.851,0.152,7.949
1,1734627251.245,1.402,-0.208,1.411,-0.165,0.043,0.880,0.147,8.148
1,1734627251.445,1.430,-0.180,1.440,-0.170,0.013,0.910,0.150,8.348
1,1734627251.646,1.430,-0.180,1.440,-0.190,0.004,0.930,0.096,8.549
1,1734627251.845,1.468,-0.200,1.471,-0.193,0.007,0.961,0.156,8.748
1,1734627252.045,1.493,-0.200,1.500,-0.196,0.005,0.990,0.145,8.948
1,1734627252.245,1.543,-0.200,1.531,-0.198,0.003,1.020,0.154,9.148
1,1734627252.446,1.580,-0.180,1.560,-0.199,0.028,1.050,0.146,9.348
1,1734627252.645,1.605,-0.185,1.591,-0.200,0.018,1.080,0.152,9.548
1,1734627252.846,1.630,-0.184,1.620,-0.201,0.016,1.109,0.146,9.748
