=== MÉTRICAS FINALES ===
Distancia recorrida (m),Distancia óptima (m),Diferencia (m),Eficiencia (%),Compensación inicial (m)
13.36,10.67,2.69,79.84,0.00

=== RUTAS POSIBLES ===
Número de Ruta,Waypoints,Distancia (m),Es Óptima
1,start -> huevo R -> cerdo R -> papa R -> yuca R -> res R -> helado R -> cashier,10.67,Sí
2,start -> huevo R -> res R -> yuca R -> papa R -> cerdo R -> helado R -> cashier,11.70,No
3,start -> huevo R -> cerdo R -> yuca R -> papa R -> res R -> helado R -> cashier,11.83,No
4,start -> huevo R -> yuca R -> papa R -> cerdo R -> res R -> helado R -> cashier,12.19,No
5,start -> res R -> yuca R -> papa R -> cerdo R -> huevo R -> helado R -> cashier,12.25,No
6,start -> helado R -> res R -> yuca R -> papa R -> cerdo R -> huevo R -> cashier,12.40,No
7,start -> huevo R -> papa R -> yuca R -> cerdo R -> res R -> helado R -> cashier,12.41,No
8,start -> cerdo R -> papa R -> yuca R -> res R -> huevo R -> helado R -> cashier,12.44,No
9,start -> helado R -> huevo R -> cerdo R -> papa R -> yuca R -> res R -> cashier,12.47,No
10,start -> huevo R -> res R -> cerdo R -> papa R -> yuca R -> helado R -> cashier,12.53,No
11,start -> huevo R -> helado R -> cerdo R -> papa R -> yuca R -> res R -> cashier,12.55,No
12,start -> huevo R -> helado R -> res R -> yuca R -> papa R -> cerdo R -> cashier,12.69,No
13,start -> huevo R -> papa R -> cerdo R -> yuca R -> res R -> helado R -> cashier,12.69,No
14,start -> huevo R -> cerdo R -> res R -> yuca R -> papa R -> helado R -> cashier,12.72,No
15,start -> huevo R -> papa R -> yuca R -> res R -> cerdo R -> helado R -> cashier,12.80,No
16,start -> huevo R -> res R -> papa R -> yuca R -> cerdo R -> helado R -> cashier,12.86,No
17,start -> huevo R -> cerdo R -> res R -> papa R -> yuca R -> helado R -> cashier,13.06,No
18,start -> cerdo R -> papa R -> yuca R -> res R -> helado R -> huevo R -> cashier,13.23,No
19,start -> huevo R -> cerdo R -> papa R -> res R -> yuca R -> helado R -> cashier,13.34,No
20,start -> huevo R -> res R -> cerdo R -> yuca R -> papa R -> helado R -> cashier,13.36,No
21,start -> huevo R -> helado R -> yuca R -> papa R -> cerdo R -> res R -> cashier,13.39,No
22,start -> huevo R -> helado R -> res R -> cerdo R -> papa R -> yuca R -> cashier,13.40,No
23,start -> res R -> papa R -> yuca R -> cerdo R -> huevo R -> helado R -> cashier,13.42,No
24,start -> helado R -> cerdo R -> papa R -> yuca R -> res R -> huevo R -> cashier,13.43,No
25,start -> papa R -> yuca R -> res R -> cerdo R -> huevo R -> helado R -> cashier,13.54,No
26,start -> cerdo R -> res R -> yuca R -> papa R -> huevo R -> helado R -> cashier,13.54,No
27,start -> helado R -> res R -> papa R -> yuca R -> cerdo R -> huevo R -> cashier,13.56,No
28,start -> cerdo R -> yuca R -> papa R -> res R -> huevo R -> helado R -> cashier,13.61,No
29,start -> helado R -> huevo R -> res R -> yuca R -> papa R -> cerdo R -> cashier,13.63,No
30,start -> helado R -> huevo R -> cerdo R -> yuca R -> papa R -> res R -> cashier,13.63,No
31,start -> huevo R -> yuca R -> cerdo R -> papa R -> res R -> helado R -> cashier,13.63,No
32,start -> huevo R -> res R -> yuca R -> cerdo R -> papa R -> helado R -> cashier,13.64,No
33,start -> huevo R -> helado R -> cerdo R -> yuca R -> papa R -> res R -> cashier,13.72,No
34,start -> huevo R -> yuca R -> papa R -> res R -> cerdo R -> helado R -> cashier,13.74,No
35,start -> res R -> cerdo R -> papa R -> yuca R -> huevo R -> helado R -> cashier,13.77,No
36,start -> huevo R -> helado R -> res R -> papa R -> yuca R -> cerdo R -> cashier,13.85,No
37,start -> yuca R -> papa R -> cerdo R -> res R -> huevo R -> helado R -> cashier,13.92,No
38,start -> helado R -> res R -> cerdo R -> papa R -> yuca R -> huevo R -> cashier,13.92,No
39,start -> huevo R -> papa R -> cerdo R -> res R -> yuca R -> helado R -> cashier,13.92,No
40,start -> huevo R -> res R -> papa R -> cerdo R -> yuca R -> helado R -> cashier,13.98,No
41,start -> helado R -> huevo R -> yuca R -> papa R -> cerdo R -> res R -> cashier,13.99,No
42,start -> huevo R -> cerdo R -> papa R -> yuca R -> helado R -> res R -> cashier,13.99,No
43,start -> res R -> cerdo R -> yuca R -> papa R -> huevo R -> helado R -> cashier,13.99,No
44,start -> huevo R -> yuca R -> res R -> papa R -> cerdo R -> helado R -> cashier,14.03,No
45,start -> res R -> yuca R -> papa R -> cerdo R -> helado R -> huevo R -> cashier,14.07,No
46,start -> helado R -> res R -> cerdo R -> yuca R -> papa R -> huevo R -> cashier,14.14,No
47,start -> cerdo R -> huevo R -> papa R -> yuca R -> res R -> helado R -> cashier,14.14,No
48,start -> huevo R -> cerdo R -> yuca R -> res R -> papa R -> helado R -> cashier,14.17,No
49,start -> papa R -> yuca R -> cerdo R -> res R -> huevo R -> helado R -> cashier,14.17,No
50,start -> helado R -> huevo R -> papa R -> yuca R -> cerdo R -> res R -> cashier,14.21,No
51,start -> huevo R -> helado R -> papa R -> yuca R -> cerdo R -> res R -> cashier,14.22,No
52,start -> huevo R -> papa R -> res R -> yuca R -> cerdo R -> helado R -> cashier,14.25,No
53,start -> helado R -> yuca R -> papa R -> cerdo R -> res R -> huevo R -> cashier,14.27,No
54,start -> res R -> yuca R -> cerdo R -> papa R -> huevo R -> helado R -> cashier,14.27,No
55,start -> huevo R -> helado R -> res R -> cerdo R -> yuca R -> papa R -> cashier,14.34,No
56,start -> helado R -> huevo R -> res R -> cerdo R -> papa R -> yuca R -> cashier,14.34,No
57,start -> cerdo R -> yuca R -> papa R -> res R -> helado R -> huevo R -> cashier,14.40,No
58,start -> helado R -> res R -> yuca R -> cerdo R -> papa R -> huevo R -> cashier,14.42,No
59,start -> yuca R -> papa R -> res R -> cerdo R -> huevo R -> helado R -> cashier,14.44,No
60,start -> helado R -> papa R -> yuca R -> res R -> cerdo R -> huevo R -> cashier,14.45,No
61,start -> papa R -> cerdo R -> yuca R -> res R -> huevo R -> helado R -> cashier,14.46,No
62,start -> helado R -> huevo R -> papa R -> cerdo R -> yuca R -> res R -> cashier,14.49,No
63,start -> cerdo R -> res R -> papa R -> yuca R -> huevo R -> helado R -> cashier,14.49,No
64,start -> huevo R -> helado R -> papa R -> cerdo R -> yuca R -> res R -> cashier,14.50,No
65,start -> yuca R -> papa R -> cerdo R -> huevo R -> res R -> helado R -> cashier,14.52,No
66,start -> huevo R -> yuca R -> res R -> cerdo R -> papa R -> helado R -> cashier,14.52,No
67,start -> helado R -> cerdo R -> res R -> yuca R -> papa R -> huevo R -> cashier,14.53,No
68,start -> cerdo R -> papa R -> yuca R -> huevo R -> res R -> helado R -> cashier,14.56,No
69,start -> helado R -> cerdo R -> yuca R -> papa R -> res R -> huevo R -> cashier,14.59,No
70,start -> huevo R -> helado R -> res R -> yuca R -> cerdo R -> papa R -> cashier,14.62,No
71,start -> helado R -> huevo R -> cerdo R -> res R -> yuca R -> papa R -> cashier,14.65,No
72,start -> huevo R -> yuca R -> papa R -> cerdo R -> helado R -> res R -> cashier,14.67,No
73,start -> yuca R -> papa R -> cerdo R -> res R -> helado R -> huevo R -> cashier,14.71,No
74,start -> res R -> huevo R -> cerdo R -> papa R -> yuca R -> helado R -> cashier,14.72,No
75,start -> yuca R -> res R -> papa R -> cerdo R -> huevo R -> helado R -> cashier,14.73,No
76,start -> helado R -> huevo R -> papa R -> yuca R -> res R -> cerdo R -> cashier,14.73,No
77,start -> huevo R -> helado R -> cerdo R -> res R -> yuca R -> papa R -> cashier,14.73,No
78,start -> huevo R -> helado R -> papa R -> yuca R -> res R -> cerdo R -> cashier,14.74,No
79,start -> papa R -> yuca R -> cerdo R -> huevo R -> res R -> helado R -> cashier,14.77,No
80,start -> cerdo R -> papa R -> res R -> yuca R -> huevo R -> helado R -> cashier,14.77,No
81,start -> cerdo R -> yuca R -> papa R -> huevo R -> res R -> helado R -> cashier,14.78,No
82,start -> helado R -> yuca R -> papa R -> res R -> cerdo R -> huevo R -> cashier,14.79,No
83,start -> helado R -> huevo R -> res R -> papa R -> yuca R -> cerdo R -> cashier,14.79,No
84,start -> huevo R -> cerdo R -> yuca R -> papa R -> helado R -> res R -> cashier,14.81,No
85,start -> huevo R -> helado R -> yuca R -> cerdo R -> papa R -> res R -> cashier,14.84,No
86,start -> huevo R -> helado R -> res R -> papa R -> cerdo R -> yuca R -> cashier,14.85,No
87,start -> helado R -> huevo R -> cerdo R -> res R -> papa R -> yuca R -> cashier,14.87,No
88,start -> huevo R -> papa R -> yuca R -> cerdo R -> helado R -> res R -> cashier,14.89,No
89,start -> res R -> cerdo R -> papa R -> yuca R -> helado R -> huevo R -> cashier,14.91,No
90,start -> helado R -> yuca R -> papa R -> cerdo R -> huevo R -> res R -> cashier,14.93,No
91,start -> helado R -> res R -> huevo R -> cerdo R -> papa R -> yuca R -> cashier,14.94,No
92,start -> huevo R -> helado R -> cerdo R -> res R -> papa R -> yuca R -> cashier,14.96,No
93,start -> papa R -> yuca R -> cerdo R -> res R -> helado R -> huevo R -> cashier,14.96,No
94,start -> res R -> yuca R -> papa R -> huevo R -> cerdo R -> helado R -> cashier,14.98,No
95,start -> papa R -> res R -> yuca R -> cerdo R -> huevo R -> helado R -> cashier,14.98,No
96,start -> cerdo R -> yuca R -> res R -> papa R -> huevo R -> helado R -> cashier,14.99,No
97,start -> huevo R -> res R -> helado R -> cerdo R -> papa R -> yuca R -> cashier,15.03,No
98,start -> helado R -> yuca R -> res R -> papa R -> cerdo R -> huevo R -> cashier,15.08,No
99,start -> huevo R -> helado R -> yuca R -> papa R -> res R -> cerdo R -> cashier,15.08,No
100,start -> huevo R -> papa R -> res R -> cerdo R -> yuca R -> helado R -> cashier,15.08,No
101,start -> cerdo R -> huevo R -> yuca R -> papa R -> res R -> helado R -> cashier,15.09,No
102,start -> helado R -> papa R -> yuca R -> cerdo R -> res R -> huevo R -> cashier,15.09,No
103,start -> cerdo R -> huevo R -> res R -> yuca R -> papa R -> helado R -> cashier,15.10,No
104,start -> huevo R -> res R -> helado R -> yuca R -> papa R -> cerdo R -> cashier,15.15,No
105,start -> helado R -> huevo R -> cerdo R -> papa R -> res R -> yuca R -> cashier,15.15,No
106,start -> papa R -> yuca R -> res R -> huevo R -> cerdo R -> helado R -> cashier,15.16,No
107,start -> helado R -> cerdo R -> huevo R -> papa R -> yuca R -> res R -> cashier,15.20,No
108,start -> huevo R -> cerdo R -> helado R -> papa R -> yuca R -> res R -> cashier,15.21,No
109,start -> res R -> papa R -> cerdo R -> yuca R -> huevo R -> helado R -> cashier,15.22,No
110,start -> res R -> papa R -> yuca R -> cerdo R -> helado R -> huevo R -> cashier,15.24,No
111,start -> huevo R -> helado R -> cerdo R -> papa R -> res R -> yuca R -> cashier,15.24,No
112,start -> papa R -> cerdo R -> yuca R -> res R -> helado R -> huevo R -> cashier,15.25,No
113,start -> helado R -> huevo R -> res R -> cerdo R -> yuca R -> papa R -> cashier,15.28,No
114,start -> cerdo R -> res R -> yuca R -> papa R -> helado R -> huevo R -> cashier,15.29,No
115,start -> yuca R -> res R -> cerdo R -> papa R -> huevo R -> helado R -> cashier,15.30,No
116,start -> helado R -> res R -> yuca R -> papa R -> huevo R -> cerdo R -> cashier,15.33,No
117,start -> huevo R -> cerdo R -> helado R -> res R -> yuca R -> papa R -> cashier,15.33,No
118,start -> papa R -> cerdo R -> res R -> yuca R -> huevo R -> helado R -> cashier,15.34,No
119,start -> papa R -> yuca R -> res R -> cerdo R -> helado R -> huevo R -> cashier,15.36,No
120,start -> huevo R -> helado R -> yuca R -> res R -> papa R -> cerdo R -> cashier,15.37,No
121,start -> yuca R -> cerdo R -> papa R -> res R -> huevo R -> helado R -> cashier,15.37,No
122,start -> helado R -> res R -> papa R -> cerdo R -> yuca R -> huevo R -> cashier,15.37,No
123,start -> yuca R -> papa R -> cerdo R -> huevo R -> helado R -> res R -> cashier,15.37,No
124,start -> helado R -> papa R -> cerdo R -> yuca R -> res R -> huevo R -> cashier,15.38,No
125,start -> res R -> huevo R -> yuca R -> papa R -> cerdo R -> helado R -> cashier,15.40,No
126,start -> huevo R -> papa R -> yuca R -> res R -> helado R -> cerdo R -> cashier,15.42,No
127,start -> cerdo R -> papa R -> yuca R -> huevo R -> helado R -> res R -> cashier,15.42,No
128,start -> helado R -> huevo R -> yuca R -> cerdo R -> papa R -> res R -> cashier,15.43,No
129,start -> cerdo R -> huevo R -> res R -> papa R -> yuca R -> helado R -> cashier,15.44,No
130,start -> helado R -> cerdo R -> res R -> papa R -> yuca R -> huevo R -> cashier,15.48,No
131,start -> res R -> helado R -> yuca R -> papa R -> cerdo R -> huevo R -> cashier,15.51,No
132,start -> res R -> huevo R -> cerdo R -> yuca R -> papa R -> helado R -> cashier,15.54,No
133,start -> huevo R -> cerdo R -> helado R -> yuca R -> papa R -> res R -> cashier,15.55,No
134,start -> huevo R -> cerdo R -> helado R -> res R -> papa R -> yuca R -> cashier,15.56,No
135,start -> helado R -> huevo R -> res R -> yuca R -> cerdo R -> papa R -> cashier,15.57,No
136,start -> res R -> helado R -> huevo R -> cerdo R -> papa R -> yuca R -> cashier,15.59,No
137,start -> helado R -> cerdo R -> papa R -> yuca R -> huevo R -> res R -> cashier,15.61,No
138,start -> yuca R -> papa R -> huevo R -> cerdo R -> res R -> helado R -> cashier,15.62,No
139,start -> res R -> huevo R -> papa R -> yuca R -> cerdo R -> helado R -> cashier,15.62,No
140,start -> cerdo R -> res R -> papa R -> yuca R -> helado R -> huevo R -> cashier,15.63,No
141,start -> papa R -> yuca R -> cerdo R -> huevo R -> helado R -> res R -> cashier,15.63,No
142,start -> cerdo R -> yuca R -> papa R -> huevo R -> helado R -> res R -> cashier,15.64,No
143,start -> helado R -> yuca R -> res R -> cerdo R -> papa R -> huevo R -> cashier,15.65,No
144,start -> papa R -> yuca R -> huevo R -> cerdo R -> res R -> helado R -> cashier,15.65,No
145,start -> helado R -> huevo R -> yuca R -> papa R -> res R -> cerdo R -> cashier,15.68,No
146,start -> huevo R -> yuca R -> cerdo R -> res R -> papa R -> helado R -> cashier,15.69,No
147,start -> cerdo R -> papa R -> yuca R -> helado R -> res R -> huevo R -> cashier,15.70,No
148,start -> helado R -> yuca R -> cerdo R -> papa R -> res R -> huevo R -> cashier,15.72,No
149,start -> helado R -> huevo R -> papa R -> cerdo R -> res R -> yuca R -> cashier,15.73,No
150,start -> res R -> cerdo R -> yuca R -> papa R -> helado R -> huevo R -> cashier,15.73,No
151,start -> huevo R -> helado R -> papa R -> cerdo R -> res R -> yuca R -> cashier,15.74,No
152,start -> helado R -> res R -> huevo R -> yuca R -> papa R -> cerdo R -> cashier,15.75,No
153,start -> helado R -> papa R -> yuca R -> cerdo R -> huevo R -> res R -> cashier,15.76,No
154,start -> helado R -> cerdo R -> papa R -> res R -> yuca R -> huevo R -> cashier,15.76,No
155,start -> cerdo R -> papa R -> yuca R -> helado R -> huevo R -> res R -> cashier,15.77,No
156,start -> helado R -> huevo R -> res R -> papa R -> cerdo R -> yuca R -> cashier,15.79,No
157,start -> res R -> cerdo R -> huevo R -> papa R -> yuca R -> helado R -> cashier,15.82,No
158,start -> helado R -> cerdo R -> yuca R -> papa R -> huevo R -> res R -> cashier,15.83,No
